"","from","to","value"
"996",2978,3130,1
"997",2814,3131,1
"998",3032,3131,1
"999",3033,3131,1
"1000",2704,3133,1
"1001",2970,3133,1
"1002",3016,3133,1
"1003",2722,3135,1
"1004",2728,3135,1
"1005",2740,3135,1
"1006",2770,3135,1
"1007",2815,3135,1
"1008",2905,3135,1
"1009",2770,3136,1
"1010",2868,3136,1
"1011",2721,3140,1
"1012",2910,3140,1
"1013",2971,3140,1
"1014",2678,3143,1
"1015",2872,3143,1
"1016",3033,3143,1
"1017",2739,3144,1
"1018",2799,3144,1
"1019",2860,3144,1
"1020",2975,3144,1
"1021",2988,3144,1
"1022",2995,3144,1
"1023",3010,3144,1
"1024",3014,3144,1
"1025",3103,3144,1
"1026",3149,3144,1
"1027",2744,3147,1
"1028",2798,3147,1
"1029",2810,3147,1
"1030",2879,3147,1
"1031",2888,3147,1
"1032",2996,3147,1
"1033",3049,3147,1
"1034",2690,3149,1
"1035",2738,3149,1
"1036",2827,3149,1
"1037",2995,3149,1
"1038",3036,3149,1
"1039",3108,3149,1
"1040",2767,3151,1
"1041",2948,3151,1
"1042",2978,3151,1
