"","From","To","relation","value"
"927",90,37,"Feeling",4
"928",90,312,"Required",1
"929",90,312,"Advice",1
"930",90,312,"Feeling",4
"931",90,147,"Required",1
"932",90,147,"Advice",1
"933",90,147,"Feeling",5
"934",90,20,"Required",1
"935",90,20,"Advice",1
"936",90,20,"Feeling",4
"937",90,267,"Required",1
"938",90,267,"Advice",1
"939",90,267,"Feeling",5
"940",100,50,"Required",1
"941",100,50,"Advice",1
"942",100,50,"Feeling",5
"943",100,50,"Conflict",1
"944",100,200,"Required",1
"945",100,200,"Feeling",3
"946",100,200,"Conflict",2
"947",100,24,"Required",1
"948",100,24,"Advice",1
"949",100,24,"Feeling",5
"950",100,24,"Conflict",1
"951",100,52,"Required",1
"952",100,52,"Advice",1
"953",100,52,"Feeling",5
"954",100,52,"Conflict",1
"955",100,211,"Required",1
"956",100,211,"Advice",1
"957",100,211,"Feeling",5
"958",100,211,"Conflict",1
"959",100,130,"Required",1
"960",100,130,"Feeling",4
"961",100,130,"Conflict",1
"962",100,332,"Required",1
"963",100,332,"Feeling",4
"964",100,332,"Conflict",1
"965",100,302,"Required",1
"966",100,302,"Advice",1
"967",100,302,"Feeling",5
"968",100,302,"Conflict",1
"969",109,43,"Required",1
